antecedents,consequents,antecedent support,consequent support,support,confidence,lift
frozenset({'livros_tecnicos'}),frozenset({'construcao_ferramentas_jardim'}),0.0028213166144200625,0.007836990595611285,0.00031347962382445143,0.11111111111111113,14.177777777777782
frozenset({'fashion_apparel'}),frozenset({'fashion_bolsas_e_acessorios'}),0.0009404388714733542,0.034796238244514104,0.00031347962382445143,0.33333333333333337,9.579579579579582
frozenset({'electronics_misc'}),frozenset({'gifts_household'}),0.02884012539184953,0.11630094043887147,0.008463949843260187,0.2934782608695652,2.5234384155631076
frozenset({'gifts_household'}),frozenset({'electronics_misc'}),0.11630094043887147,0.02884012539184953,0.008463949843260187,0.07277628032345013,2.5234384155631076
frozenset({'music_homecomfort'}),frozenset({'fashion_bolsas_e_acessorios'}),0.005015673981191223,0.034796238244514104,0.00031347962382445143,0.0625,1.7961711711711714
frozenset({'construcao_ferramentas_jardim'}),frozenset({'moveis_decoracao'}),0.007836990595611285,0.14890282131661442,0.0009404388714733542,0.12000000000000001,0.8058947368421053
frozenset({'livros_tecnicos'}),frozenset({'moveis_decoracao'}),0.0028213166144200625,0.14890282131661442,0.00031347962382445143,0.11111111111111113,0.7461988304093569
frozenset({'gifts_household'}),frozenset({'moveis_decoracao'}),0.11630094043887147,0.14890282131661442,0.011598746081504702,0.09973045822102426,0.6697687615264577
frozenset({'moveis_decoracao'}),frozenset({'gifts_household'}),0.14890282131661442,0.11630094043887147,0.011598746081504702,0.07789473684210527,0.6697687615264577
frozenset({'moveis_decoracao'}),frozenset({'cama_mesa_banho'}),0.14890282131661442,0.25329153605015675,0.02413793103448276,0.16210526315789472,0.6399947889525794
frozenset({'cama_mesa_banho'}),frozenset({'moveis_decoracao'}),0.25329153605015675,0.14890282131661442,0.02413793103448276,0.09529702970297028,0.6399947889525793
frozenset({'music_homecomfort'}),frozenset({'diversified_other'}),0.005015673981191223,0.5360501567398119,0.001567398119122257,0.31249999999999994,0.5829678362573099
frozenset({'music_homecomfort'}),frozenset({'gifts_household'}),0.005015673981191223,0.11630094043887147,0.00031347962382445143,0.0625,0.5373989218328841
frozenset({'electronics_misc'}),frozenset({'moveis_decoracao'}),0.02884012539184953,0.14890282131661442,0.00219435736677116,0.07608695652173914,0.5109839816933639
frozenset({'electronics_misc'}),frozenset({'diversified_other'}),0.02884012539184953,0.5360501567398119,0.007210031347962382,0.25,0.46637426900584794
frozenset({'electronics_misc'}),frozenset({'cama_mesa_banho'}),0.02884012539184953,0.25329153605015675,0.003134796238244514,0.10869565217391304,0.4291325871717606
frozenset({'music_homecomfort'}),frozenset({'moveis_decoracao'}),0.005015673981191223,0.14890282131661442,0.00031347962382445143,0.0625,0.4197368421052632
frozenset({'livros_tecnicos'}),frozenset({'diversified_other'}),0.0028213166144200625,0.5360501567398119,0.0006269592476489029,0.22222222222222227,0.41455490578297605
frozenset({'gifts_household'}),frozenset({'diversified_other'}),0.11630094043887147,0.5360501567398119,0.023510971786833857,0.20215633423180593,0.37712205040904145
frozenset({'construcao_ferramentas_jardim'}),frozenset({'cama_mesa_banho'}),0.007836990595611285,0.25329153605015675,0.0006269592476489029,0.08000000000000002,0.3158415841584159
frozenset({'moveis_decoracao'}),frozenset({'diversified_other'}),0.14890282131661442,0.5360501567398119,0.023510971786833857,0.15789473684210528,0.2945521698984303
frozenset({'gifts_household'}),frozenset({'cama_mesa_banho'}),0.11630094043887147,0.25329153605015675,0.007210031347962382,0.06199460916442048,0.2447559445971551
frozenset({'construcao_ferramentas_jardim'}),frozenset({'diversified_other'}),0.007836990595611285,0.5360501567398119,0.0006269592476489029,0.08000000000000002,0.14923976608187137
frozenset({'cama_mesa_banho'}),frozenset({'diversified_other'}),0.25329153605015675,0.5360501567398119,0.017241379310344827,0.06806930693069306,0.1269830930461467
