antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,condition,algorithm,basket_type
frozenset({'cama_mesa_banho'}),frozenset({'moveis_decoracao'}),0.28546712802768165,0.1384083044982699,0.031141868512110725,0.10909090909090909,0.7881818181818181,1.0,-0.008369152668191236,0.9670927194407175,-0.27331378299120246,0.07929515418502202,-0.0340270171595473,0.16704545454545452,Primavera,FP-Growth,category
frozenset({'gifts_household'}),frozenset({'moveis_decoracao'}),0.11434302908726178,0.15947843530591777,0.013039117352056168,0.11403508771929825,0.7150502041266689,1.0,-0.005196130014919382,0.9487075086646077,-0.31032203797164143,0.04999999999999999,-0.054065653393627275,0.09789804700430321,Inverno,FP-Growth,category
frozenset({'moveis_decoracao'}),frozenset({'gifts_household'}),0.15947843530591777,0.11434302908726178,0.013039117352056168,0.08176100628930817,0.7150502041266689,1.0,-0.005196130014919382,0.9645168381857903,-0.3216265022728688,0.04999999999999999,-0.03678853536756483,0.09789804700430321,Inverno,FP-Growth,category
frozenset({'moveis_decoracao'}),frozenset({'gifts_household'}),0.1317365269461078,0.09730538922155689,0.008982035928143712,0.06818181818181818,0.7006993006993006,1.0,-0.0038366381010434235,0.9687454359573535,-0.329738058551618,0.04081632653061224,-0.03226292778531585,0.08024475524475524,Verão,FP-Growth,category
frozenset({'gifts_household'}),frozenset({'moveis_decoracao'}),0.09730538922155689,0.1317365269461078,0.008982035928143712,0.0923076923076923,0.7006993006993005,1.0,-0.0038366381010434235,0.9565614533644575,-0.32120075046904323,0.04081632653061224,-0.0454111405835544,0.08024475524475524,Verão,FP-Growth,category
frozenset({'construcao_ferramentas_jardim'}),frozenset({'moveis_decoracao'}),0.009027081243731194,0.15947843530591777,0.0010030090270812437,0.1111111111111111,0.6967155835080362,1.0,-0.0004366157650484053,0.9455867602808425,-0.3052039381153307,0.005988023952095808,-0.057544417926279526,0.058700209643605866,Inverno,FP-Growth,category
frozenset({'moveis_decoracao'}),frozenset({'cama_mesa_banho'}),0.15947843530591777,0.2587763289869609,0.028084252758274825,0.1761006289308176,0.6805128955194772,1.0,-0.013184991282775112,0.8996531579471237,-0.35838118676510816,0.07197943444730076,-0.11153947625977656,0.14231388035688167,Inverno,FP-Growth,category
frozenset({'cama_mesa_banho'}),frozenset({'moveis_decoracao'}),0.2587763289869609,0.15947843530591777,0.028084252758274825,0.10852713178294573,0.6805128955194772,1.0,-0.013184991282775112,0.9428459290916227,-0.38777442452216127,0.07197943444730076,-0.06061867495513498,0.14231388035688167,Inverno,FP-Growth,category
frozenset({'livros_tecnicos'}),frozenset({'diversified_other'}),0.0031678986272439284,0.5364308342133052,0.0010559662090813093,0.3333333333333333,0.6213910761154855,1.0,-0.0006433922942343355,0.6953537486800422,-0.3793556870479948,0.0019607843137254897,-0.43811693242217165,0.1676509186351706,Outono,FP-Growth,category
frozenset({'construcao_ferramentas_jardim'}),frozenset({'diversified_other'}),0.004491017964071856,0.5793413173652695,0.0014970059880239522,0.33333333333333337,0.5753660637381568,1.0,-0.0011048262755925277,0.6309880239520957,-0.4257340241796201,0.0025706940874035992,-0.5848161328588376,0.16795865633074938,Verão,FP-Growth,category
