query_item,recommended_item,rank,algorithm,basket_type,condition,segment_id,support,confidence,lift
0bcc3eeca39e1064258aa1e932269894,422879e10f46682990de24d770e7f83d,1,Apriori,product,all,,0.00039896269698783165,0.060000000000000005,2.563465909090909
35afc973633aaeb6b877ff57b2793310,99a4788cb24856965c36a24e339b6058,1,Apriori,product,all,,0.001928319702107853,0.18954248366013074,6.251160990712075
36f60d45225e60c7da4558b070ce4b60,e53e557d5a159f5aa2c5e995dfdf244b,1,Apriori,product,all,,0.0022607886162643795,0.3090909090909091,30.18453364817001
36f60d45225e60c7da4558b070ce4b60,3f14d740544f37ece8a9e7bc8349797e,2,Apriori,product,all,,0.0007979253939756633,0.10909090909090909,21.03356643356643
3f14d740544f37ece8a9e7bc8349797e,36f60d45225e60c7da4558b070ce4b60,1,Apriori,product,all,,0.0007979253939756633,0.15384615384615383,21.03356643356643
4fcb3d9a5f4871e8362dfedbdb02b064,f4f67ccaece962d013a4e1d7dc3a61f7,1,Apriori,product,all,,0.0011303943081321897,0.1910112359550562,51.2967495987159
6c3effec7c8ddba466d4f03f982c7aa3,0aabfb375647d9738ad0f7b4ea3653b1,1,Apriori,product,all,,0.00033246891415652634,0.05319148936170213,5.8390277993477255
99a4788cb24856965c36a24e339b6058,35afc973633aaeb6b877ff57b2793310,1,Apriori,product,all,,0.001928319702107853,0.06359649122807018,6.2511609907120755
e53e557d5a159f5aa2c5e995dfdf244b,36f60d45225e60c7da4558b070ce4b60,1,Apriori,product,all,,0.0022607886162643795,0.2207792207792208,30.184533648170014
f4f67ccaece962d013a4e1d7dc3a61f7,4fcb3d9a5f4871e8362dfedbdb02b064,1,Apriori,product,all,,0.0011303943081321897,0.3035714285714286,51.2967495987159
0bcc3eeca39e1064258aa1e932269894,422879e10f46682990de24d770e7f83d,1,FP-Growth,product,all,,0.00039896269698783165,0.060000000000000005,2.563465909090909
35afc973633aaeb6b877ff57b2793310,99a4788cb24856965c36a24e339b6058,1,FP-Growth,product,all,,0.001928319702107853,0.18954248366013074,6.251160990712075
36f60d45225e60c7da4558b070ce4b60,e53e557d5a159f5aa2c5e995dfdf244b,1,FP-Growth,product,all,,0.0022607886162643795,0.3090909090909091,30.18453364817001
36f60d45225e60c7da4558b070ce4b60,3f14d740544f37ece8a9e7bc8349797e,2,FP-Growth,product,all,,0.0007979253939756633,0.10909090909090909,21.03356643356643
3f14d740544f37ece8a9e7bc8349797e,36f60d45225e60c7da4558b070ce4b60,1,FP-Growth,product,all,,0.0007979253939756633,0.15384615384615383,21.03356643356643
4fcb3d9a5f4871e8362dfedbdb02b064,f4f67ccaece962d013a4e1d7dc3a61f7,1,FP-Growth,product,all,,0.0011303943081321897,0.1910112359550562,51.2967495987159
6c3effec7c8ddba466d4f03f982c7aa3,0aabfb375647d9738ad0f7b4ea3653b1,1,FP-Growth,product,all,,0.00033246891415652634,0.05319148936170213,5.8390277993477255
99a4788cb24856965c36a24e339b6058,35afc973633aaeb6b877ff57b2793310,1,FP-Growth,product,all,,0.001928319702107853,0.06359649122807018,6.2511609907120755
e53e557d5a159f5aa2c5e995dfdf244b,36f60d45225e60c7da4558b070ce4b60,1,FP-Growth,product,all,,0.0022607886162643795,0.2207792207792208,30.184533648170014
f4f67ccaece962d013a4e1d7dc3a61f7,4fcb3d9a5f4871e8362dfedbdb02b064,1,FP-Growth,product,all,,0.0011303943081321897,0.3035714285714286,51.2967495987159
0bcc3eeca39e1064258aa1e932269894,422879e10f46682990de24d770e7f83d,1,ECLAT-style,product,all,,0.00039896269698783165,0.060000000000000005,2.563465909090909
35afc973633aaeb6b877ff57b2793310,99a4788cb24856965c36a24e339b6058,1,ECLAT-style,product,all,,0.001928319702107853,0.18954248366013074,6.251160990712075
36f60d45225e60c7da4558b070ce4b60,e53e557d5a159f5aa2c5e995dfdf244b,1,ECLAT-style,product,all,,0.0022607886162643795,0.3090909090909091,30.18453364817001
36f60d45225e60c7da4558b070ce4b60,3f14d740544f37ece8a9e7bc8349797e,2,ECLAT-style,product,all,,0.0007979253939756633,0.10909090909090909,21.03356643356643
3f14d740544f37ece8a9e7bc8349797e,36f60d45225e60c7da4558b070ce4b60,1,ECLAT-style,product,all,,0.0007979253939756633,0.15384615384615383,21.03356643356643
4fcb3d9a5f4871e8362dfedbdb02b064,f4f67ccaece962d013a4e1d7dc3a61f7,1,ECLAT-style,product,all,,0.0011303943081321897,0.1910112359550562,51.2967495987159
6c3effec7c8ddba466d4f03f982c7aa3,0aabfb375647d9738ad0f7b4ea3653b1,1,ECLAT-style,product,all,,0.00033246891415652634,0.05319148936170213,5.8390277993477255
99a4788cb24856965c36a24e339b6058,35afc973633aaeb6b877ff57b2793310,1,ECLAT-style,product,all,,0.001928319702107853,0.06359649122807018,6.2511609907120755
e53e557d5a159f5aa2c5e995dfdf244b,36f60d45225e60c7da4558b070ce4b60,1,ECLAT-style,product,all,,0.0022607886162643795,0.2207792207792208,30.184533648170014
f4f67ccaece962d013a4e1d7dc3a61f7,4fcb3d9a5f4871e8362dfedbdb02b064,1,ECLAT-style,product,all,,0.0011303943081321897,0.3035714285714286,51.2967495987159
