antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,cluster_id,cluster_label,algorithm,basket_type,condition
frozenset({'e5ae72c62ebfa708624f5029d609b160'}),frozenset({'5b8a5a9417210b1b84b67b9a7aefb935'}),0.0014477420791803553,0.0008909182025725263,0.00033409432596469735,0.23076923076923075,259.02403846153845,1.0,0.00033280450619372536,1.2988418063366558,0.9975835982081451,0.16666666666666663,0.23008329796492308,0.30288461538461536,0,Urban Core Buyers,FP-Growth,product,segment
frozenset({'5b8a5a9417210b1b84b67b9a7aefb935'}),frozenset({'e5ae72c62ebfa708624f5029d609b160'}),0.0008909182025725263,0.0014477420791803553,0.00033409432596469735,0.37499999999999994,259.0240384615384,1.0,0.00033280450619372536,1.5976836126733116,0.9970276245146668,0.16666666666666663,0.37409384932805434,0.30288461538461536,0,Urban Core Buyers,FP-Growth,product,segment
frozenset({'f4f67ccaece962d013a4e1d7dc3a61f7'}),frozenset({'4fcb3d9a5f4871e8362dfedbdb02b064'}),0.0023943426694136645,0.004009131911576368,0.0007238710395901777,0.3023255813953488,75.4092377260982,1.0,0.0007142718039869824,1.4275869109267405,0.989107286997441,0.12745098039215685,0.2995172536635025,0.2414405684754522,0,Urban Core Buyers,FP-Growth,product,segment
frozenset({'4fcb3d9a5f4871e8362dfedbdb02b064'}),frozenset({'f4f67ccaece962d013a4e1d7dc3a61f7'}),0.004009131911576368,0.0023943426694136645,0.0007238710395901777,0.18055555555555558,75.4092377260982,1.0,0.0007142718039869824,1.21741707335258,0.9907109159638929,0.12745098039215685,0.17858881570787133,0.2414405684754522,0,Urban Core Buyers,FP-Growth,product,segment
frozenset({'e53e557d5a159f5aa2c5e995dfdf244b'}),frozenset({'36f60d45225e60c7da4558b070ce4b60'}),0.006904616069937079,0.004788685338827329,0.001559106854501921,0.22580645161290322,47.15416354088522,1.0,0.0015260428207575817,1.285481281437348,0.9855981416957026,0.15384615384615385,0.222081243468703,0.2756939234808702,0,Urban Core Buyers,FP-Growth,product,segment
frozenset({'36f60d45225e60c7da4558b070ce4b60'}),frozenset({'e53e557d5a159f5aa2c5e995dfdf244b'}),0.004788685338827329,0.006904616069937079,0.001559106854501921,0.3255813953488372,47.154163540885214,1.0,0.0015260428207575817,1.4725207416894035,0.9835026496471133,0.15384615384615385,0.3208924182265078,0.2756939234808702,0,Urban Core Buyers,FP-Growth,product,segment
frozenset({'3f14d740544f37ece8a9e7bc8349797e'}),frozenset({'36f60d45225e60c7da4558b070ce4b60'}),0.0032852608719861906,0.004788685338827329,0.00044545910128626317,0.13559322033898305,28.315333070555774,1.0,0.00042972702071435983,1.1513228934315527,0.9678631284916203,0.058394160583941604,0.1314339307373019,0.11430823807646827,0,Urban Core Buyers,FP-Growth,product,segment
frozenset({'36f60d45225e60c7da4558b070ce4b60'}),frozenset({'3f14d740544f37ece8a9e7bc8349797e'}),0.004788685338827329,0.0032852608719861906,0.00044545910128626317,0.09302325581395349,28.315333070555774,1.0,0.00042972702071435983,1.098941891859092,0.9693252391876015,0.058394160583941604,0.09003377939456932,0.11430823807646827,0,Urban Core Buyers,FP-Growth,product,segment
frozenset({'35afc973633aaeb6b877ff57b2793310'}),frozenset({'99a4788cb24856965c36a24e339b6058'}),0.006292109805668467,0.019266106130630883,0.001113647753215658,0.17699115044247787,9.186659164151619,1.0,0.0009924232979140661,1.1916444086799862,0.8967891964585903,0.04555808656036447,0.16082348667441437,0.11739730932528518,0,Urban Core Buyers,FP-Growth,product,segment
frozenset({'99a4788cb24856965c36a24e339b6058'}),frozenset({'35afc973633aaeb6b877ff57b2793310'}),0.019266106130630883,0.006292109805668467,0.001113647753215658,0.057803468208092484,9.186659164151619,1.0,0.0009924232979140661,1.0546715644393825,0.9086526997104413,0.04555808656036447,0.051837525806854926,0.11739730932528518,0,Urban Core Buyers,FP-Growth,product,segment
frozenset({'f4f67ccaece962d013a4e1d7dc3a61f7'}),frozenset({'4fcb3d9a5f4871e8362dfedbdb02b064'}),0.001413760603204524,0.002120640904806786,0.000471253534401508,0.3333333333333333,157.1851851851852,1.0,0.00046825545583674817,1.4968190386427898,0.9950448324681453,0.15384615384615383,0.3319165682802046,0.2777777777777778,1,Southern Mid-Spend Buyers,FP-Growth,product,segment
frozenset({'4fcb3d9a5f4871e8362dfedbdb02b064'}),frozenset({'f4f67ccaece962d013a4e1d7dc3a61f7'}),0.002120640904806786,0.001413760603204524,0.000471253534401508,0.22222222222222224,157.1851851851852,1.0,0.00046825545583674817,1.2838965935101656,0.995749704840614,0.15384615384615383,0.2211210738818101,0.2777777777777778,1,Southern Mid-Spend Buyers,FP-Growth,product,segment
frozenset({'36f60d45225e60c7da4558b070ce4b60'}),frozenset({'e53e557d5a159f5aa2c5e995dfdf244b'}),0.004241281809613572,0.006126295947219604,0.00117813383600377,0.2777777777777778,45.34188034188034,1.0,0.001152150488442518,1.3761328209961574,0.9821107430194036,0.1282051282051282,0.27332595753648387,0.23504273504273504,1,Southern Mid-Spend Buyers,FP-Growth,product,segment
frozenset({'e53e557d5a159f5aa2c5e995dfdf244b'}),frozenset({'36f60d45225e60c7da4558b070ce4b60'}),0.006126295947219604,0.004241281809613572,0.00117813383600377,0.1923076923076923,45.34188034188034,1.0,0.001152150488442518,1.2328441272833355,0.9839734471313418,0.1282051282051282,0.18886745058065452,0.23504273504273504,1,Southern Mid-Spend Buyers,FP-Growth,product,segment
frozenset({'3f14d740544f37ece8a9e7bc8349797e'}),frozenset({'36f60d45225e60c7da4558b070ce4b60'}),0.003063147973609802,0.004241281809613572,0.000471253534401508,0.15384615384615383,36.27350427350427,1.0,0.0004582618606208821,1.1768057578613658,0.9754195225714962,0.06896551724137931,0.1502420910844952,0.13247863247863248,1,Southern Mid-Spend Buyers,FP-Growth,product,segment
frozenset({'36f60d45225e60c7da4558b070ce4b60'}),frozenset({'3f14d740544f37ece8a9e7bc8349797e'}),0.004241281809613572,0.003063147973609802,0.000471253534401508,0.11111111111111112,36.27350427350427,1.0,0.0004582618606208821,1.121553958529689,0.9765735920492191,0.06896551724137931,0.10837994695238846,0.13247863247863248,1,Southern Mid-Spend Buyers,FP-Growth,product,segment
