min_support,min_confidence,frequent_itemsets,rules,average_lift,runtime_seconds
0.001,0.05,148,6,29.24414807919933,0.08774232864379883
0.001,0.08,148,5,33.84274549689678,0.04133296012878418
0.001,0.1,148,5,33.84274549689678,0.03675389289855957
0.0008,0.05,148,6,29.24414807919933,0.04012632369995117
0.0008,0.08,148,5,33.84274549689678,0.04350566864013672
0.0008,0.1,148,5,33.84274549689678,0.03863334655761719
0.0005,0.05,152,8,27.191502667791106,0.040207624435424805
0.0005,0.08,152,7,30.182980050230963,0.04474067687988281
0.0005,0.1,152,7,30.182980050230963,0.04612112045288086
0.0003,0.05,156,10,22.593451505076747,0.03808951377868652
0.0003,0.08,156,7,30.182980050230963,0.04769778251647949
0.0003,0.1,156,7,30.182980050230963,0.04368400573730469
0.0002,0.05,157,10,22.593451505076747,0.050547122955322266
0.0002,0.08,157,7,30.182980050230963,0.054795026779174805
0.0002,0.1,157,7,30.182980050230963,0.053319692611694336
