metric,category_baskets,product_baskets
count,95146.0,96478.0
mean,1.0045193702310133,1.0385372831111757
std,0.06816257508321193,0.22794221173361376
min,1.0,1.0
25%,1.0,1.0
50%,1.0,1.0
75%,1.0,1.0
max,3.0,8.0
single_item_rate,0.9955542009122822,0.966862911751902
multi_item_count,423.0,3197.0
