system,precision_at_10,recall_at_10,hit_rate_at_10,coverage,runtime_seconds,n_users
Most-Popular,0.0125,0.041666666666666664,0.125,0.003379416282642089,0.0,8
Category-Popular,0.0,0.0,0.0,0.013824884792626729,0.0,8
Apriori-only,0.0125,0.041666666666666664,0.125,0.003379416282642089,0.0,8
FP-Growth-only,0.0125,0.041666666666666664,0.125,0.003379416282642089,0.0,8
CF-only,0.025,0.125,0.25,0.011059907834101382,0.0,8
Hybrid (RRF),0.0125,0.0625,0.125,0.021812596006144394,0.0,8
