comparison,wilcoxon_p,mean_diff,ci_low,ci_high,cliffs_delta,n_pairs
Hybrid (RRF) vs Apriori-only,0.13166801602281422,-0.0008291873963515755,-0.001990049751243781,0.0001658374792703151,-0.008291873963515755,603
Hybrid (RRF) vs CF-only,0.5637028616507731,-0.0001658374792703151,-0.0006633499170812604,0.0003316749585406302,-0.001658374792703151,603
Hybrid (RRF) vs Category-Popular,0.049534613435626706,-0.0014925373134328358,-0.0029850746268656717,-0.00016583747927031506,-0.014925373134328358,603
Hybrid (RRF) vs FP-Growth-only,0.13166801602281422,-0.0008291873963515755,-0.001990049751243781,0.0001658374792703151,-0.008291873963515755,603
Hybrid (RRF) vs Most-Popular,0.13166801602281422,-0.0008291873963515755,-0.001990049751243781,0.0001658374792703151,-0.008291873963515755,603
