system,precision_at_10,recall_at_10,hit_rate_at_10,coverage,runtime_seconds,n_users
Most-Popular,0.001824212271973466,0.014925373134328358,0.01824212271973466,0.000491993917166115,0.27,603
Category-Popular,0.0024875621890547263,0.019624101713653953,0.024875621890547265,0.004338491815010287,0.11,603
Apriori-only,0.001824212271973466,0.014925373134328358,0.01824212271973466,0.0006709007961356114,0.39,603
FP-Growth-only,0.001824212271973466,0.014925373134328358,0.01824212271973466,0.0006709007961356114,0.4,603
CF-only,0.0011608623548922056,0.009950248756218905,0.011608623548922056,0.02688075856516683,0.16,603
Hybrid (RRF),0.0009950248756218907,0.007462686567164179,0.009950248756218905,0.0542087843277574,0.19,603
